,Unnamed: 0,price,model_year,model,condition,cylinders,fuel,odometer,transmission,type,paint_color,is_4wd,date_posted,days_listed
0,0,9400,2011.0,bmw x5,good,6.0,gas,145000.0,automatic,SUV,other,1.0,2018-06-23,19
1,2,5500,2013.0,hyundai sonata,like new,4.0,gas,110000.0,automatic,sedan,red,0.0,2019-02-07,79
2,4,14900,2017.0,chrysler 200,excellent,4.0,gas,80903.0,automatic,sedan,black,0.0,2019-04-02,28
3,5,14990,2014.0,chrysler 300,excellent,6.0,gas,57954.0,automatic,sedan,black,1.0,2018-06-20,15
4,6,12990,2015.0,toyota camry,excellent,4.0,gas,79212.0,automatic,sedan,white,0.0,2018-12-27,73
5,7,15990,2013.0,honda pilot,excellent,6.0,gas,109473.0,automatic,SUV,black,1.0,2019-01-07,68
6,8,11500,2012.0,kia sorento,excellent,4.0,gas,104174.0,automatic,SUV,other,1.0,2018-07-16,19
7,10,19500,2011.0,chevrolet silverado 1500,excellent,8.0,gas,128413.0,automatic,pickup,black,1.0,2018-09-17,38
8,11,8990,2012.0,honda accord,excellent,4.0,gas,111142.0,automatic,sedan,grey,0.0,2019-03-28,29
9,12,18990,2012.0,ram 1500,excellent,8.0,gas,140742.0,automatic,pickup,other,1.0,2019-04-02,37
10,13,16500,2018.0,hyundai sonata,excellent,4.0,gas,22104.0,automatic,sedan,silver,0.0,2019-01-14,29
11,14,12990,2009.0,gmc yukon,excellent,8.0,gas,132285.0,automatic,SUV,black,1.0,2019-01-31,24
12,16,14990,2010.0,ram 1500,excellent,8.0,gas,130725.0,automatic,pickup,red,1.0,2018-12-30,13
13,17,13990,2014.0,jeep cherokee,excellent,6.0,gas,100669.0,automatic,SUV,red,1.0,2018-08-16,25
14,18,12500,2013.0,chevrolet traverse,excellent,6.0,gas,128325.0,automatic,SUV,white,1.0,2019-04-09,13
15,19,13990,2018.0,hyundai elantra,excellent,4.0,gas,31932.0,automatic,sedan,red,0.0,2018-08-25,27
16,21,5250,2007.0,toyota rav4,good,6.0,gas,154000.0,automatic,SUV,other,0.0,2018-08-22,8
17,22,7500,2004.0,chevrolet silverado,like new,8.0,gas,180000.0,automatic,truck,red,1.0,2019-01-05,64
18,26,8499,2014.0,ford fusion se,like new,4.0,gas,79523.0,automatic,sedan,red,0.0,2018-10-25,23
19,27,12999,2015.0,chevrolet impala,like new,6.0,gas,39368.0,automatic,sedan,custom,0.0,2018-05-19,42
20,28,29800,2012.0,chevrolet corvette,excellent,8.0,gas,57413.0,automatic,coupe,orange,0.0,2018-10-22,101
21,30,5000,2009.0,jeep liberty,good,6.0,gas,137273.0,automatic,SUV,white,1.0,2019-02-19,14
22,31,11999,2017.0,toyota camry le,excellent,4.0,gas,35721.0,automatic,sedan,other,0.0,2018-09-13,25
23,32,9499,2015.0,nissan altima,like new,4.0,gas,51848.0,automatic,sedan,grey,0.0,2018-11-12,7
24,33,3890,2011.0,subaru outback,excellent,4.0,gas,300000.0,automatic,SUV,white,1.0,2018-12-25,31
25,34,9500,2008.0,toyota highlander,good,6.0,gas,149799.0,automatic,SUV,other,0.0,2018-06-04,121
26,35,14999,2015.0,dodge charger,good,6.0,gas,63037.0,automatic,sedan,other,0.0,2018-05-11,37
27,39,8000,2009.0,ford f-150,good,8.0,gas,234000.0,automatic,truck,black,1.0,2019-03-31,1
28,40,11499,2017.0,chevrolet equinox,like new,4.0,gas,54772.0,automatic,SUV,grey,1.0,2019-01-12,36
29,43,5100,2008.0,honda cr-v,excellent,4.0,gas,188000.0,automatic,SUV,red,1.0,2018-11-18,10
30,44,4500,2004.0,jeep grand cherokee,good,6.0,gas,168821.0,automatic,SUV,other,1.0,2019-01-31,60
31,46,11200,2015.0,dodge charger,excellent,6.0,gas,90302.0,automatic,sedan,black,1.0,2018-07-19,73
32,47,12500,2008.0,toyota 4runner,good,6.0,gas,141098.0,automatic,SUV,grey,0.0,2019-03-10,35
33,48,9500,2014.0,ford focus,excellent,4.0,diesel,46000.0,automatic,sedan,other,0.0,2018-10-09,24
34,49,3200,2006.0,honda civic,excellent,4.0,gas,255390.0,automatic,sedan,blue,0.0,2018-10-18,23
35,50,6200,2006.0,ford f-150,excellent,6.0,gas,69698.0,automatic,truck,custom,0.0,2018-05-03,50
36,51,3800,2012.0,ford focus,good,4.0,gas,130323.0,automatic,sedan,black,0.0,2018-11-29,261
37,52,3300,2011.0,kia soul,good,4.0,gas,188963.0,manual,SUV,black,0.0,2019-02-16,71
38,53,10400,2012.0,chevrolet colorado,excellent,5.0,gas,111871.0,automatic,truck,red,1.0,2019-01-30,27
39,54,30300,2017.0,ford f150 supercrew cab xlt,good,6.0,gas,30339.0,automatic,pickup,brown,1.0,2018-07-15,14
40,55,19700,2017.0,chevrolet camaro lt coupe 2d,good,6.0,gas,35807.0,other,coupe,other,0.0,2018-05-16,99
41,57,4877,2012.0,chevrolet cruze,excellent,4.0,gas,163261.0,automatic,sedan,white,0.0,2019-04-18,21
42,60,13000,2005.0,ram 1500,good,8.0,gas,146000.0,automatic,truck,grey,1.0,2019-03-14,26
43,61,16999,2013.0,chevrolet silverado 1500,good,8.0,gas,137230.0,automatic,truck,white,1.0,2018-05-29,24
44,62,10499,2017.0,chevrolet cruze,good,4.0,gas,53601.0,automatic,sedan,black,0.0,2019-01-13,48
45,67,14950,2012.0,ram 1500,excellent,8.0,gas,114773.0,automatic,truck,grey,1.0,2019-04-09,85
46,68,6950,2013.0,nissan altima,excellent,4.0,gas,158786.0,automatic,sedan,other,0.0,2018-12-24,41
47,71,23300,2018.0,nissan frontier crew cab sv,good,6.0,gas,27493.0,other,pickup,other,1.0,2018-10-13,36
48,76,3000,2010.0,nissan versa,like new,4.0,gas,200412.0,automatic,hatchback,silver,0.0,2018-09-23,33
49,77,4200,2012.0,ford focus,like new,4.0,gas,144273.0,automatic,sedan,silver,0.0,2018-06-11,19
50,79,16500,2012.0,ford f-250 sd,good,8.0,gas,123262.0,automatic,truck,silver,1.0,2018-09-25,47
51,80,26900,2014.0,chevrolet silverado 1500 crew,good,8.0,gas,68607.0,automatic,pickup,other,1.0,2018-09-08,10
52,81,5900,2000.0,ford f250 super duty,good,8.0,diesel,202752.0,automatic,pickup,red,0.0,2018-07-08,32
53,82,9950,2014.0,dodge charger,good,8.0,gas,102878.0,automatic,sedan,white,0.0,2018-06-02,28
54,83,11950,2008.0,chevrolet silverado,good,8.0,gas,170000.0,automatic,truck,black,1.0,2019-03-13,38
55,85,4826,2000.0,gmc yukon,like new,8.0,gas,226111.0,automatic,SUV,grey,1.0,2018-06-30,14
